Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
2018-06-27,2019-06-20,358 days,21.448467966573816,9017.18316,10073.74262,717.3168400000002,-9.828168399999996,44.412272727272715,-9.983942692320857,18.821557766461016,-10.010385956924562,-0.5304525170659198,-0.6721348682664737,-0.3594506875759686,-27.775555973058996,-27.775555973058996,344 days,344 days 00:00:00,27.0,70.37037037037037,8.292454643457049,-12.134730960022877,-0.3026565055739616,6 days,2 days,0.8940092752903831,-0.19186675853343915,-0.15673754928719297,-0.06174002218455066
2021-02-09,2021-03-29,48 days,0.0,10000.0,10000.0,0.0,11.650287693842822,0.0,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,,MeanReversionStrategy
2023-06-26,2024-07-09,379 days,0.0,10000.0,10000.0,0.0,90.32540778844871,0.0,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,,MeanReversionStrategy
2022-03-20,2023-09-19,548 days,0.0,10000.0,10000.0,0.0,-42.647572321853985,0.0,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,,MeanReversionStrategy
2021-05-07,2022-04-29,357 days,0.0,10000.0,10000.0,0.0,-16.91616009114162,0.0,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,,MeanReversionStrategy
2020-12-07,2023-10-21,1048 days,0.0,10000.0,10000.0,0.0,40.099861186864004,0.0,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,,MeanReversionStrategy
2017-09-27,2023-03-10,1990 days,11.652435961828226,14211.770920000008,14234.210940000008,2731.169079999999,42.11770920000008,363.67468181224353,6.655738023847868,19.19656984349461,6.659191585049107,0.34671496408528335,0.6135901288856613,0.2240002016089608,-29.713089434923145,-4.302209217680491,887 days,94 days 00:00:00,87.0,73.5632183908046,15.951489792041773,-12.134730960022877,0.8844997949351452,6 days,2 days,1.855622210969244,0.9829227754405349,2.0965700989181832,0.35031314940204594
2021-08-13,2022-05-15,275 days,0.0,10000.0,10000.0,0.0,-36.511545282981736,0.0,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,,MeanReversionStrategy
2019-12-22,2021-05-05,500 days,11.177644710578843,14085.070600000005,14107.510620000005,865.6093999999999,40.850706000000045,702.6505361638468,28.344521720447325,20.76605689429635,28.408593955398675,1.3649448166653386,5.654290551755284,4.064017701790783,-6.974507445663313,-0.8554269490248163,213 days,33 days 00:00:00,23.0,82.6086956521739,15.931934693541416,-5.266958911293839,2.307886431266537,4 days,2 days,7.247304085374961,2.3805661202783255,2.778573927069377,0.7112916348091359
2021-09-10,2022-07-14,307 days,0.0,10000.0,10000.0,0.0,-56.45620696835444,0.0,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,,MeanReversionStrategy
