datetime,open,high,low,close,volume
2023-12-11 09:00:00,233.71,233.84,233.71,233.83,11.56711053
2023-12-11 19:00:00,228.1,228.41,228.41,228.31,4.56362943
2023-12-11 18:59:00,228.46,228.59,228.59,228.59,31.72795076
2023-12-11 18:58:00,228.32,228.63,228.32,228.63,12.86202432
2023-12-11 18:57:00,228.34,228.46,228.42,228.42,10.72815551
2023-12-11 18:56:00,228.12,228.32,228.32,228.21,14.71533518
2023-12-11 18:55:00,228.14,228.54,228.47,228.32,47.53475985
2023-12-11 18:54:00,228.46,228.66,228.66,228.46,10.63134934
2023-12-11 18:53:00,228.63,228.72,228.67,228.72,0.18072229
2023-12-11 18:52:00,228.61,228.92,228.63,228.75,16.69618212
2023-12-11 18:51:00,228.31,228.57,228.35,228.48,10.32915771
2023-12-11 18:50:00,228.09,228.53,228.51,228.09,118.68290453
2023-12-11 18:49:00,228.35,228.46,228.38,228.43,5.90918956
2023-12-11 18:48:00,228.35,228.51,228.39,228.35,7.27970725
2023-12-11 18:47:00,228.02,228.39,228.02,228.39,9.68620879
2023-12-11 18:46:00,227.59,228.1,227.59,228.1,30.16720261
2023-12-11 18:45:00,226.86,227.37,227.05,227.34,37.48507238
2023-12-11 18:44:00,227.09,227.32,227.24,227.19,13.26618668
2023-12-11 18:43:00,227.19,227.43,227.43,227.23,13.02341162
2023-12-11 18:42:00,227.74,227.87,227.83,227.87,7.7758197
2023-12-11 18:41:00,227.85,228.07,227.95,227.86,17.01050892
2023-12-11 18:40:00,227.61,227.99,227.99,227.77,7.12966362
2023-12-11 18:39:00,227.48,227.9,227.48,227.88,9.23205913
2023-12-11 18:38:00,227.32,227.66,227.4,227.59,6.23545555
2023-12-11 18:37:00,227.19,227.62,227.19,227.28,10.3313455
2023-12-11 18:36:00,227.27,227.87,227.5,227.27,23.2710102
2023-12-11 18:35:00,227.15,227.56,227.36,227.15,17.55545674
2023-12-11 18:34:00,227.34,227.69,227.66,227.36,4.14311869
2023-12-11 18:33:00,227.16,227.65,227.36,227.38,25.35399396
2023-12-11 18:32:00,226.42,227.29,226.45,227.22,45.88217535
2023-12-11 18:31:00,224.98,226.22,225.26,226.19,167.64504782
2023-12-11 18:30:00,225.27,226.91,226.59,225.35,190.47812128
2023-12-11 18:29:00,225.73,226.63,226.11,226.38,131.03673693
2023-12-11 18:28:00,226.19,227.41,227.41,226.41,91.56725498
2023-12-11 18:27:00,225.88,227.32,226.86,227.32,151.39157508
2023-12-11 18:26:00,226.83,227.69,227.69,226.86,29.77253134
2023-12-11 18:25:00,227.42,228.39,227.59,227.73,70.43326008
2023-12-11 18:24:00,226.87,228.31,228.31,227.46,308.34151382
2023-12-11 18:23:00,228.06,228.33,228.21,228.26,24.03401392
2023-12-11 18:22:00,228.11,228.59,228.52,228.11,17.05032729
2023-12-11 18:21:00,228.45,229.03,228.98,228.45,17.91402162
2023-12-11 18:20:00,229.11,229.36,229.11,229.36,1.48467339
2023-12-11 18:19:00,229.26,229.45,229.42,229.45,3.29419591
2023-12-11 18:18:00,229.1,229.42,229.11,229.26,21.97640024
2023-12-11 18:17:00,228.12,228.95,228.32,228.95,40.3227015
2023-12-11 18:16:00,228.52,229.44,229.17,228.52,19.53153039
2023-12-11 18:15:00,228.01,229.1,228.01,229.1,46.66561381
2023-12-11 18:14:00,227.73,228.61,227.85,227.9,72.01181331
2023-12-11 18:13:00,226.64,229.42,229.42,227.93,629.03626203
2023-12-11 18:12:00,229.0,229.71,229.66,229.47,91.50872942
2023-12-11 18:11:00,229.31,229.95,229.91,229.58,9.45445651
2023-12-11 18:10:00,229.6,230.03,230.0,229.85,44.12374888
2023-12-11 18:09:00,230.06,230.52,230.3,230.06,10.08286956
2023-12-11 18:08:00,230.41,230.69,230.61,230.43,13.48331765
2023-12-11 18:07:00,230.04,230.66,230.04,230.41,55.79988205
2023-12-11 18:06:00,229.6,230.4,230.4,229.92,121.30076853
2023-12-11 18:05:00,230.21,230.64,230.23,230.55,41.49369533
2023-12-11 18:04:00,230.83,231.2,231.1,230.83,12.24858148
2023-12-11 18:03:00,230.99,231.29,231.29,231.07,16.37953561
2023-12-11 18:02:00,230.24,231.19,230.27,231.19,77.61593239
2023-12-11 18:01:00,230.21,231.38,230.46,230.3,205.725718
2023-12-11 18:00:00,230.08,231.32,231.32,230.42,157.80874557
2023-12-11 17:59:00,231.51,231.72,231.72,231.51,6.90872067
2023-12-11 17:58:00,231.49,231.72,231.72,231.7,4.29169957
2023-12-11 17:57:00,231.75,231.92,231.87,231.79,6.71026031
2023-12-11 17:56:00,231.79,231.96,231.79,231.96,50.29636426
2023-12-11 17:55:00,231.37,231.56,231.37,231.54,24.3664882
2023-12-11 17:54:00,231.25,231.51,231.4,231.48,71.77852844
2023-12-11 17:53:00,231.43,231.57,231.57,231.43,2.78337146
2023-12-11 17:52:00,231.52,231.6,231.52,231.57,1.50050479
2023-12-11 17:51:00,231.53,231.69,231.67,231.53,25.25373695
2023-12-11 17:50:00,231.63,231.72,231.71,231.72,2.86084092
2023-12-11 17:49:00,231.6,231.7,231.6,231.7,5.71297814
2023-12-11 17:48:00,231.66,231.86,231.86,231.66,14.1877464
2023-12-11 17:47:00,231.95,232.02,232.02,231.95,4.61091908
2023-12-11 17:46:00,231.96,232.11,232.09,231.96,1.25619868
2023-12-11 17:45:00,231.82,232.1,231.92,232.1,3.91632118
2023-12-11 17:44:00,231.86,231.98,231.98,231.86,6.04044574
2023-12-11 17:43:00,231.77,232.0,231.77,232.0,21.36252978
2023-12-11 17:42:00,231.51,231.76,231.51,231.76,8.28563056
2023-12-11 17:41:00,231.64,231.77,231.77,231.65,27.32104384
2023-12-11 17:40:00,231.87,232.09,232.09,231.87,25.49465231
2023-12-11 17:39:00,231.99,232.1,231.99,232.1,0.97739559
2023-12-11 17:38:00,231.61,232.13,231.62,232.06,63.61755087
2023-12-11 17:37:00,231.57,231.77,231.77,231.61,4.59690153
2023-12-11 17:36:00,231.61,231.77,231.77,231.74,7.28069293
2023-12-11 17:35:00,231.68,231.72,231.68,231.71,2.12224272
2023-12-11 17:34:00,231.51,231.78,231.78,231.76,13.96925526
2023-12-11 17:33:00,231.81,231.88,231.88,231.81,1.87981048
2023-12-11 17:32:00,231.87,231.96,231.96,231.87,2.68159721
2023-12-11 17:31:00,231.96,232.09,232.03,231.96,2.59029264
2023-12-11 17:30:00,232.02,232.18,232.18,232.16,0.51657475
2023-12-11 17:28:00,232.03,232.22,232.06,232.18,19.87680944
2023-12-11 17:27:00,231.94,232.11,232.05,232.1,25.37584816
2023-12-11 17:26:00,231.91,231.95,231.95,231.94,2.92074206
2023-12-11 17:25:00,232.08,232.31,232.3,232.17,10.56955562
2023-12-11 17:24:00,232.12,232.3,232.16,232.25,23.23807544
2023-12-11 17:23:00,232.22,232.44,232.33,232.22,1.49123332
2023-12-11 17:21:00,232.21,232.27,232.21,232.27,0.24992606
2023-12-11 17:20:00,231.75,232.13,232.13,231.95,11.42413594
2023-12-11 17:18:00,232.06,232.15,232.06,232.09,2.66642838
2023-12-11 17:17:00,231.94,232.14,232.14,231.94,3.54582623
2023-12-11 17:16:00,231.97,232.28,232.28,232.16,20.63238157
2023-12-11 17:15:00,232.34,232.39,232.39,232.35,1.60524747
2023-12-11 17:14:00,232.4,232.69,232.69,232.4,6.27453184
2023-12-11 17:13:00,232.67,232.74,232.73,232.7,6.99834947
2023-12-11 17:12:00,232.67,232.7,232.7,232.67,4.79915564
2023-12-11 17:11:00,232.57,232.63,232.57,232.63,7.06811146
2023-12-11 17:10:00,232.39,232.58,232.58,232.57,15.85185202
2023-12-11 17:09:00,232.48,232.71,232.48,232.69,14.34035426
2023-12-11 17:08:00,232.27,232.71,232.71,232.47,15.28187815
2023-12-11 17:07:00,232.78,232.79,232.79,232.78,5.55147419
2023-12-11 17:05:00,233.01,233.07,233.01,233.07,10.41557899
2023-12-11 17:04:00,232.92,233.19,233.19,232.92,8.23574733
2023-12-11 17:03:00,233.15,233.38,233.26,233.15,20.19031675
2023-12-11 17:02:00,233.17,233.28,233.17,233.28,1.67711869
2023-12-11 17:01:00,233.13,233.3,233.14,233.23,6.2671823
2023-12-11 17:00:00,233.14,233.52,233.52,233.14,24.0962148
2023-12-11 16:59:00,233.56,233.65,233.65,233.56,0.29241206
2023-12-11 16:58:00,233.51,233.62,233.51,233.62,4.95129865
2023-12-11 16:57:00,233.2,233.58,233.28,233.5,19.50021009
2023-12-11 16:56:00,233.06,233.33,233.32,233.22,31.78324665
2023-12-11 16:54:00,233.12,233.36,233.18,233.36,9.18518077
2023-12-11 16:53:00,233.2,233.35,233.35,233.23,17.76201579
2023-12-11 16:52:00,233.27,233.51,233.34,233.51,1.02225469
2023-12-11 16:51:00,232.99,233.41,232.99,233.41,71.17615928
2023-12-11 16:50:00,232.95,233.14,233.14,232.95,3.8931109
2023-12-11 16:49:00,233.04,233.23,233.09,233.23,21.57613683
