datetime,open,high,low,close,volume
2025-03-01 02:40:00,6.558,6.56,6.558,6.56,29.2955
2025-03-01 12:40:00,6.344,6.351,6.344,6.351,61.2126
2025-03-01 12:39:00,6.342,6.343,6.342,6.343,6.905
2025-03-01 12:38:00,6.337,6.343,6.338,6.343,283.2921
2025-03-01 12:37:00,6.339,6.345,6.345,6.339,318.0966
2025-03-01 12:36:00,6.348,6.355,6.355,6.349,591.7189
2025-03-01 12:34:00,6.357,6.359,6.357,6.359,268.4159
2025-03-01 12:32:00,6.345,6.355,6.345,6.355,29.6166
2025-03-01 12:31:00,6.336,6.348,6.348,6.341,666.0083
2025-03-01 12:28:00,6.345,6.35,6.345,6.35,131.4339
2025-03-01 12:26:00,6.346,6.355,6.355,6.348,847.6565
2025-03-01 12:25:00,6.357,6.368,6.368,6.357,911.0254
2025-03-01 12:24:00,6.373,6.373,6.373,6.373,30.254
2025-03-01 12:23:00,6.365,6.371,6.365,6.371,631.1409
2025-03-01 12:22:00,6.367,6.367,6.367,6.367,7.6166
2025-03-01 12:21:00,6.366,6.369,6.369,6.366,133.9275
2025-03-01 12:20:00,6.372,6.378,6.377,6.372,400.4801
2025-03-01 12:19:00,6.374,6.382,6.382,6.378,1558.851
2025-03-01 12:18:00,6.367,6.38,6.367,6.38,569.2523
2025-03-01 12:17:00,6.362,6.363,6.362,6.363,113.8758
2025-03-01 12:16:00,6.354,6.361,6.354,6.361,375.8031
2025-03-01 12:15:00,6.343,6.35,6.35,6.349,532.806
2025-03-01 12:13:00,6.346,6.354,6.351,6.353,2169.1764
2025-03-01 12:11:00,6.352,6.354,6.354,6.352,241.7553
2025-03-01 12:09:00,6.36,6.362,6.36,6.362,2.0576
2025-03-01 12:08:00,6.361,6.366,6.361,6.362,2.6824
2025-03-01 12:06:00,6.356,6.357,6.356,6.356,171.3248
2025-03-01 12:05:00,6.356,6.362,6.362,6.356,359.515
2025-03-01 12:04:00,6.359,6.367,6.359,6.367,132.9608
2025-03-01 12:03:00,6.367,6.369,6.369,6.367,261.7457
2025-03-01 12:02:00,6.368,6.368,6.368,6.368,30.5163
2025-03-01 12:01:00,6.363,6.368,6.368,6.366,892.3039
2025-03-01 12:00:00,6.369,6.381,6.378,6.369,713.6261
2025-03-01 11:58:00,6.371,6.374,6.371,6.374,17.9639
2025-03-01 11:56:00,6.369,6.37,6.369,6.37,250.1374
2025-03-01 11:51:00,6.369,6.373,6.369,6.373,141.513
2025-03-01 11:50:00,6.37,6.375,6.375,6.37,2178.7564
2025-03-01 11:48:00,6.371,6.384,6.384,6.382,2224.4357
2025-03-01 11:47:00,6.385,6.385,6.385,6.385,0.7753
2025-03-01 11:46:00,6.386,6.394,6.386,6.394,160.1721
2025-03-01 11:45:00,6.383,6.391,6.383,6.391,162.9222
2025-03-01 11:44:00,6.385,6.39,6.39,6.385,191.8747
2025-03-01 11:42:00,6.39,6.39,6.39,6.39,0.19
2025-03-01 11:41:00,6.386,6.388,6.387,6.386,314.5875
2025-03-01 11:38:00,6.381,6.386,6.381,6.386,132.1112
2025-03-01 11:35:00,6.381,6.389,6.381,6.389,276.015
2025-03-01 11:33:00,6.384,6.387,6.387,6.384,430.1788
2025-03-01 11:32:00,6.384,6.388,6.388,6.384,185.8997
2025-03-01 11:31:00,6.386,6.392,6.386,6.392,261.572
2025-03-01 11:30:00,6.37,6.379,6.379,6.376,282.0552
2025-03-01 11:28:00,6.381,6.388,6.385,6.381,116.3238
2025-03-01 11:26:00,6.382,6.386,6.386,6.382,271.2447
2025-03-01 11:25:00,6.375,6.384,6.375,6.384,306.3649
2025-03-01 11:23:00,6.369,6.371,6.369,6.371,61.0
2025-03-01 11:22:00,6.368,6.376,6.368,6.372,672.0515
2025-03-01 11:21:00,6.364,6.364,6.364,6.364,15.5636
2025-03-01 11:20:00,6.357,6.361,6.357,6.361,81.6
2025-03-01 11:19:00,6.353,6.366,6.366,6.359,467.1461
2025-03-01 11:18:00,6.364,6.371,6.371,6.364,134.2453
2025-03-01 11:17:00,6.371,6.379,6.379,6.371,971.712
2025-03-01 11:15:00,6.371,6.387,6.371,6.387,4544.9821
2025-03-01 11:13:00,6.371,6.372,6.372,6.371,130.9705
2025-03-01 11:12:00,6.373,6.377,6.373,6.376,239.4967
2025-03-01 11:11:00,6.366,6.375,6.367,6.37,287.6404
2025-03-01 11:10:00,6.363,6.378,6.378,6.365,974.8744
2025-03-01 11:09:00,6.38,6.38,6.38,6.38,283.0377
2025-03-01 11:08:00,6.385,6.389,6.386,6.385,158.8537
2025-03-01 11:07:00,6.384,6.389,6.389,6.384,448.6711
2025-03-01 11:06:00,6.383,6.386,6.386,6.386,202.7212
2025-03-01 11:05:00,6.392,6.397,6.395,6.392,576.1682
2025-03-01 11:04:00,6.392,6.396,6.393,6.393,238.9439
2025-03-01 11:02:00,6.396,6.403,6.403,6.396,703.2236
2025-03-01 11:01:00,6.406,6.408,6.407,6.406,403.4944
2025-03-01 10:57:00,6.4,6.405,6.4,6.405,155.4289
2025-03-01 10:56:00,6.398,6.398,6.398,6.398,105.6632
2025-03-01 10:55:00,6.389,6.413,6.413,6.389,1693.7736
2025-03-01 10:52:00,6.412,6.417,6.414,6.417,464.8625
2025-03-01 10:51:00,6.412,6.416,6.414,6.412,336.4123
2025-03-01 10:49:00,6.414,6.419,6.419,6.414,226.8816
2025-03-01 10:48:00,6.423,6.426,6.424,6.423,148.0992
2025-03-01 10:47:00,6.415,6.421,6.415,6.421,19.8949
2025-03-01 10:46:00,6.414,6.42,6.42,6.414,0.38
2025-03-01 10:44:00,6.422,6.423,6.423,6.422,130.2013
2025-03-01 10:43:00,6.41,6.424,6.41,6.424,2634.7472
2025-03-01 10:42:00,6.411,6.421,6.421,6.418,5116.156
2025-03-01 10:41:00,6.418,6.421,6.42,6.421,141.4331
2025-03-01 10:40:00,6.42,6.426,6.426,6.42,137.5007
2025-03-01 10:39:00,6.428,6.434,6.434,6.428,184.0237
2025-03-01 10:38:00,6.428,6.434,6.434,6.428,52.5385
2025-03-01 10:37:00,6.43,6.434,6.434,6.432,756.864
2025-03-01 10:36:00,6.434,6.437,6.437,6.434,75.4692
2025-03-01 10:34:00,6.437,6.442,6.438,6.442,145.3637
2025-03-01 10:32:00,6.429,6.44,6.432,6.434,778.1218
2025-03-01 10:30:00,6.433,6.44,6.44,6.435,439.8829
2025-03-01 10:29:00,6.445,6.445,6.445,6.445,4.7252
2025-03-01 10:27:00,6.444,6.449,6.445,6.449,267.4141
2025-03-01 10:26:00,6.434,6.442,6.434,6.442,129.3131
2025-03-01 10:25:00,6.423,6.43,6.423,6.428,176.7048
2025-03-01 10:24:00,6.417,6.42,6.417,6.42,339.847
2025-03-01 10:23:00,6.408,6.418,6.412,6.418,628.4965
2025-03-01 10:22:00,6.414,6.431,6.431,6.42,1039.5684
2025-03-01 10:21:00,6.431,6.435,6.431,6.432,55.4026
2025-03-01 10:20:00,6.427,6.435,6.435,6.429,162.8952
2025-03-01 10:19:00,6.426,6.433,6.433,6.432,745.9888
2025-03-01 10:18:00,6.434,6.448,6.448,6.434,657.4012
2025-03-01 10:16:00,6.45,6.456,6.456,6.451,202.4282
2025-03-01 10:15:00,6.458,6.465,6.463,6.458,610.3771
2025-03-01 10:14:00,6.461,6.461,6.461,6.461,31.4
2025-03-01 10:13:00,6.455,6.457,6.455,6.457,306.7992
2025-03-01 10:09:00,6.449,6.454,6.451,6.45,339.1457
2025-03-01 10:07:00,6.444,6.456,6.444,6.456,194.3648
2025-03-01 10:06:00,6.44,6.443,6.443,6.44,162.8977
2025-03-01 10:05:00,6.442,6.453,6.453,6.442,525.6967
2025-03-01 10:04:00,6.45,6.454,6.451,6.454,80.0115
2025-03-01 10:03:00,6.458,6.461,6.461,6.458,0.4981
2025-03-01 10:02:00,6.462,6.467,6.467,6.462,228.9727
2025-03-01 10:01:00,6.473,6.474,6.474,6.473,183.2611
2025-03-01 09:58:00,6.468,6.472,6.468,6.472,393.4923
2025-03-01 09:57:00,6.469,6.47,6.47,6.469,67.5481
2025-03-01 09:56:00,6.464,6.469,6.464,6.469,31.7705
2025-03-01 09:55:00,6.467,6.474,6.474,6.467,9.1094
2025-03-01 09:54:00,6.467,6.478,6.477,6.467,5491.0361
2025-03-01 09:53:00,6.471,6.476,6.471,6.476,38.8485
2025-03-01 09:51:00,6.467,6.469,6.467,6.468,63.5494
2025-03-01 09:50:00,6.456,6.463,6.456,6.463,3.4053
2025-03-01 09:45:00,6.449,6.453,6.453,6.453,2.9779
2025-03-01 09:44:00,6.454,6.468,6.468,6.454,1387.0991
2025-03-01 09:43:00,6.47,6.471,6.471,6.47,59.2204
2025-03-01 09:38:00,6.479,6.502,6.501,6.483,430.271
2025-03-01 09:35:00,6.497,6.501,6.498,6.501,1082.6414
2025-03-01 09:34:00,6.498,6.499,6.499,6.498,14.1951
2025-03-01 09:33:00,6.498,6.498,6.498,6.498,50.9359
2025-03-01 09:31:00,6.497,6.501,6.501,6.501,138.6379
2025-03-01 09:30:00,6.5,6.504,6.504,6.501,388.251
2025-03-01 09:29:00,6.501,6.506,6.506,6.501,61.19
2025-03-01 09:27:00,6.506,6.506,6.506,6.506,68.2273
2025-03-01 09:26:00,6.504,6.507,6.507,6.504,2.1376
2025-03-01 09:24:00,6.508,6.514,6.514,6.508,256.6107
2025-03-01 09:21:00,6.517,6.526,6.526,6.518,270.9563
2025-03-01 09:20:00,6.529,6.529,6.529,6.529,56.0726
2025-03-01 09:19:00,6.525,6.531,6.525,6.531,151.1536
2025-03-01 09:18:00,6.513,6.523,6.513,6.523,447.311
2025-03-01 09:16:00,6.512,6.516,6.512,6.516,189.1342
2025-03-01 09:15:00,6.51,6.512,6.51,6.511,507.9201
2025-03-01 09:13:00,6.505,6.508,6.508,6.505,83.6922
2025-03-01 09:12:00,6.51,6.517,6.51,6.512,1938.1317
2025-03-01 09:11:00,6.508,6.518,6.508,6.518,274.9618
2025-03-01 09:10:00,6.498,6.505,6.498,6.505,128.7887
2025-03-01 09:06:00,6.49,6.493,6.49,6.492,19.2048
2025-03-01 09:04:00,6.486,6.493,6.49,6.486,64.3755
2025-03-01 09:03:00,6.493,6.493,6.493,6.493,58.1
2025-03-01 09:02:00,6.493,6.498,6.495,6.493,190.2277
2025-03-01 09:01:00,6.487,6.496,6.487,6.496,130.4468
2025-03-01 08:59:00,6.483,6.488,6.488,6.483,189.2399
2025-03-01 08:55:00,6.484,6.489,6.484,6.489,1477.5046
2025-03-01 08:53:00,6.479,6.484,6.479,6.484,282.09
2025-03-01 08:51:00,6.471,6.476,6.471,6.476,32.7889
2025-03-01 08:49:00,6.456,6.46,6.456,6.46,0.38
2025-03-01 08:48:00,6.455,6.455,6.455,6.455,0.155
2025-03-01 08:46:00,6.449,6.454,6.451,6.454,170.6862
2025-03-01 08:44:00,6.457,6.459,6.459,6.457,307.8932
2025-03-01 08:42:00,6.458,6.461,6.461,6.458,52.5126
2025-03-01 08:40:00,6.462,6.47,6.47,6.462,136.4705
2025-03-01 08:38:00,6.472,6.476,6.476,6.472,147.9068
2025-03-01 08:36:00,6.479,6.481,6.481,6.479,550.7659
2025-03-01 08:35:00,6.48,6.485,6.48,6.481,484.8554
2025-03-01 08:34:00,6.474,6.485,6.475,6.48,5321.3109
2025-03-01 08:33:00,6.471,6.474,6.474,6.471,228.3386
2025-03-01 08:30:00,6.471,6.476,6.472,6.476,169.7391
2025-03-01 08:29:00,6.473,6.473,6.473,6.473,1.2409
2025-03-01 08:26:00,6.466,6.475,6.466,6.473,430.4256
2025-03-01 08:25:00,6.463,6.473,6.473,6.464,231.103
2025-03-01 08:24:00,6.472,6.474,6.472,6.474,301.3814
2025-03-01 08:23:00,6.46,6.472,6.46,6.471,562.6139
2025-03-01 08:21:00,6.452,6.459,6.453,6.459,11.2106
2025-03-01 08:20:00,6.458,6.46,6.46,6.459,644.6279
2025-03-01 08:18:00,6.463,6.463,6.463,6.463,91.3449
2025-03-01 08:16:00,6.455,6.465,6.455,6.462,737.0353
2025-03-01 08:15:00,6.452,6.453,6.453,6.452,24.6683
2025-03-01 08:14:00,6.451,6.451,6.451,6.451,1.4594
2025-03-01 08:12:00,6.449,6.45,6.449,6.45,29.3761
2025-03-01 08:11:00,6.448,6.448,6.448,6.448,3.1155
2025-03-01 08:10:00,6.443,6.446,6.446,6.443,32.1098
2025-03-01 08:09:00,6.445,6.451,6.451,6.445,447.6511
2025-03-01 08:08:00,6.451,6.457,6.451,6.455,64.4391
2025-03-01 08:06:00,6.444,6.451,6.445,6.451,207.5774
2025-03-01 08:05:00,6.449,6.452,6.449,6.452,115.346
2025-03-01 08:03:00,6.447,6.452,6.451,6.447,279.6438
2025-03-01 08:02:00,6.438,6.447,6.438,6.447,0.38
2025-03-01 08:01:00,6.432,6.433,6.432,6.433,4.0757
2025-03-01 08:00:00,6.425,6.427,6.427,6.425,391.285
2025-03-01 07:59:00,6.426,6.433,6.426,6.429,1315.2803
2025-03-01 07:58:00,6.424,6.426,6.424,6.426,118.4435
2025-03-01 07:57:00,6.424,6.429,6.429,6.424,452.5942
2025-03-01 07:55:00,6.434,6.439,6.437,6.434,53.2836
2025-03-01 07:54:00,6.432,6.432,6.432,6.432,4.2806
2025-03-01 07:52:00,6.438,6.447,6.446,6.438,35.8594
2025-03-01 07:51:00,6.446,6.451,6.447,6.448,900.4723
2025-03-01 07:50:00,6.443,6.446,6.443,6.445,153.9868
2025-03-01 07:49:00,6.435,6.442,6.435,6.442,330.7109
2025-03-01 07:48:00,6.428,6.434,6.434,6.428,100.3281
2025-03-01 07:46:00,6.427,6.428,6.428,6.428,510.3618
2025-03-01 07:45:00,6.43,6.434,6.43,6.434,277.449
2025-03-01 07:44:00,6.43,6.43,6.43,6.43,54.69
2025-03-01 07:43:00,6.432,6.432,6.432,6.432,14.8138
2025-03-01 07:41:00,6.422,6.43,6.422,6.43,130.3929
2025-03-01 17:40:00,6.413,6.413,6.413,6.413,70.6587
2025-03-01 17:39:00,6.409,6.413,6.409,6.413,0.38
2025-03-01 17:38:00,6.399,6.407,6.4,6.401,1496.1525
2025-03-01 17:37:00,6.397,6.401,6.4,6.401,313.0045
2025-03-01 17:36:00,6.396,6.396,6.396,6.396,17.0059
2025-03-01 17:35:00,6.385,6.39,6.385,6.39,154.6521
2025-03-01 17:34:00,6.385,6.391,6.391,6.385,0.38
2025-03-01 17:33:00,6.392,6.392,6.392,6.392,65.4048
2025-03-01 17:30:00,6.39,6.398,6.391,6.398,8.6276
2025-03-01 17:29:00,6.394,6.4,6.4,6.394,248.5214
2025-03-01 17:26:00,6.405,6.411,6.411,6.405,56.7174
2025-03-01 17:25:00,6.409,6.409,6.409,6.409,60.6701
2025-03-01 17:24:00,6.408,6.414,6.414,6.408,51.0004
2025-03-01 17:22:00,6.409,6.419,6.409,6.418,162.5448
2025-03-01 17:21:00,6.402,6.408,6.402,6.407,30.1198
2025-03-01 17:20:00,6.398,6.398,6.398,6.398,0.38
2025-03-01 17:18:00,6.39,6.393,6.39,6.393,0.4996
2025-03-01 17:17:00,6.384,6.388,6.388,6.386,306.5925
2025-03-01 17:16:00,6.385,6.395,6.391,6.385,53.1368
2025-03-01 17:13:00,6.4,6.405,6.405,6.4,55.6303
