datetime,open,high,low,close,volume
2023-10-28 06:38:00,32.23,32.24,32.24,32.23,227.201
2023-10-28 16:38:00,31.82,31.83,31.83,31.83,45.767
2023-10-28 16:37:00,31.83,31.85,31.85,31.83,134.486
2023-10-28 16:36:00,31.84,31.86,31.85,31.84,341.642
2023-10-28 16:35:00,31.83,31.85,31.83,31.85,31.188
2023-10-28 16:34:00,31.83,31.84,31.83,31.84,140.524
2023-10-28 16:33:00,31.83,31.87,31.87,31.83,109.25
2023-10-28 16:32:00,31.86,31.89,31.87,31.86,631.644
2023-10-28 16:31:00,31.88,31.89,31.89,31.88,163.563
2023-10-28 16:30:00,31.89,31.93,31.93,31.9,184.017
2023-10-28 16:29:00,31.89,31.93,31.89,31.92,286.667
2023-10-28 16:28:00,31.88,31.9,31.88,31.9,38.062
2023-10-28 16:27:00,31.88,31.89,31.88,31.88,117.746
2023-10-28 16:26:00,31.85,31.88,31.85,31.88,122.688
2023-10-28 16:25:00,31.83,31.86,31.84,31.86,115.137
2023-10-28 16:24:00,31.81,31.83,31.82,31.83,253.168
2023-10-28 16:23:00,31.82,31.86,31.85,31.84,612.491
2023-10-28 16:22:00,31.82,31.85,31.82,31.85,30.237
2023-10-28 16:21:00,31.81,31.84,31.83,31.82,1071.111
2023-10-28 16:20:00,31.8,31.83,31.81,31.83,375.207
2023-10-28 16:19:00,31.8,31.82,31.81,31.81,579.431
2023-10-28 16:18:00,31.8,31.84,31.8,31.82,1318.711
2023-10-28 16:17:00,31.8,31.85,31.85,31.81,230.841
2023-10-28 16:16:00,31.85,31.88,31.88,31.85,50.263
2023-10-28 16:15:00,31.84,31.89,31.84,31.87,330.982
2023-10-28 16:14:00,31.85,31.89,31.89,31.85,35.575
2023-10-28 16:13:00,31.89,31.93,31.93,31.89,11.107
2023-10-28 16:12:00,31.92,31.93,31.92,31.93,383.816
2023-10-28 16:11:00,31.93,31.98,31.98,31.93,34.12
2023-10-28 16:10:00,32.0,32.08,32.04,32.0,233.853
2023-10-28 16:09:00,32.04,32.05,32.04,32.04,206.606
2023-10-28 16:08:00,32.05,32.08,32.08,32.05,382.179
2023-10-28 16:07:00,32.08,32.1,32.09,32.08,49.301
2023-10-28 16:06:00,32.07,32.11,32.08,32.11,1080.098
2023-10-28 16:05:00,32.03,32.09,32.05,32.09,1458.782
2023-10-28 16:04:00,32.05,32.09,32.07,32.05,1898.499
2023-10-28 16:03:00,32.04,32.07,32.06,32.06,358.129
2023-10-28 16:02:00,32.0,32.07,32.0,32.07,1595.441
2023-10-28 16:01:00,32.01,32.02,32.02,32.01,2353.897
2023-10-28 16:00:00,32.01,32.04,32.03,32.03,161.153
2023-10-28 15:59:00,32.0,32.03,32.0,32.03,520.524
2023-10-28 15:58:00,31.99,32.0,32.0,32.0,68.019
2023-10-28 15:57:00,31.99,32.03,32.03,31.99,79.529
2023-10-28 15:56:00,31.99,32.06,32.0,32.03,1280.276
2023-10-28 15:55:00,31.96,32.01,31.97,32.01,3033.008
2023-10-28 15:54:00,31.97,31.99,31.99,31.98,12.57
2023-10-28 15:53:00,31.97,31.99,31.98,31.99,41.18
2023-10-28 15:52:00,31.97,31.99,31.97,31.98,28.067
2023-10-28 15:51:00,31.97,31.98,31.97,31.97,16.868
2023-10-28 15:50:00,31.96,31.98,31.97,31.98,86.924
2023-10-28 15:49:00,31.95,31.96,31.96,31.96,204.598
