datetime,open,high,low,close,volume
2021-05-19 04:00:00,1.8291,1.8464,1.5802,1.6581,51161450.99
2021-05-19 05:00:00,1.6592,1.79,1.6585,1.7257,38120179.81
2021-05-19 06:00:00,1.7257,1.7754,1.6926,1.717,20842666.52
2021-05-19 07:00:00,1.7171,1.7901,1.6548,1.7847,18628674.4
2021-05-19 08:00:00,1.7823,1.8,1.7381,1.7921,8969874.05
2021-05-19 09:00:00,1.7912,1.8186,1.7573,1.7767,7781691.93
2021-05-19 10:00:00,1.7769,1.7857,1.6544,1.6978,19393339.68
2021-05-19 11:00:00,1.6986,1.7051,1.4,1.5974,51928525.24
2021-05-19 12:00:00,1.5961,1.63,1.05,1.2359,64611775.13
2021-05-19 13:00:00,1.2301,1.7999,1.05,1.6438,71081824.75
2021-05-19 14:00:00,1.6438,1.6999,1.379,1.6499,50201108.78
2021-05-19 15:00:00,1.6493,1.9085,1.6088,1.7374,39532108.4
2021-05-19 16:00:00,1.7374,1.89,1.65,1.8121,34008191.81
2021-05-19 17:00:00,1.8119,1.8873,1.75,1.7853,25642218.41
2021-05-19 18:00:00,1.7866,1.7933,1.58,1.6285,26564318.25
2021-05-19 19:00:00,1.6289,1.6913,1.613,1.6665,18243386.63
2021-05-19 20:00:00,1.6665,1.7335,1.55,1.5599,20502675.35
2021-05-19 21:00:00,1.5598,1.6312,1.49,1.5783,25458395.38
2021-05-19 22:00:00,1.5783,1.6532,1.555,1.6236,14544333.69
2021-05-19 23:00:00,1.6236,1.6372,1.481,1.4919,16589224.56
2021-05-20 00:00:00,1.4927,1.5814,1.3334,1.3981,32372787.73
2021-05-20 01:00:00,1.3975,1.5,1.375,1.4756,24623389.86
2021-05-20 02:00:00,1.4754,1.5567,1.4652,1.5398,15833922.66
2021-05-20 03:00:00,1.5396,1.5754,1.5124,1.5653,11579510.55
2021-05-20 04:00:00,1.5634,1.604,1.5482,1.5825,10339312.79
2021-05-20 05:00:00,1.582,1.6617,1.5778,1.6498,8970729.82
2021-05-20 06:00:00,1.65,1.66,1.605,1.6319,8176484.91
2021-05-20 07:00:00,1.6319,1.758,1.631,1.7,11553327.62
2021-05-20 08:00:00,1.6996,1.7251,1.6426,1.6867,7274181.96
2021-05-20 09:00:00,1.6866,1.7044,1.605,1.678,5162736.69
2021-05-20 10:00:00,1.6782,1.7325,1.6585,1.7297,6444535.35
2021-05-20 11:00:00,1.7282,1.8131,1.6982,1.8093,17942094.92
2021-05-20 12:00:00,1.8078,1.9571,1.7604,1.953,29282765.63
2021-05-20 13:00:00,1.9522,1.9696,1.8077,1.8617,24998458.33
2021-05-20 14:00:00,1.8627,1.9167,1.8432,1.8606,13081790.02
2021-05-20 15:00:00,1.8595,1.9,1.8238,1.8595,13387630.79
2021-05-20 16:00:00,1.8591,1.8596,1.669,1.7688,28552387.12
2021-05-20 17:00:00,1.7687,1.819,1.7174,1.8039,12518125.14
2021-05-20 18:00:00,1.8051,1.824,1.7502,1.7922,10713012.15
2021-05-20 19:00:00,1.7918,1.8427,1.7699,1.8157,8306431.2
2021-05-20 20:00:00,1.8138,1.8388,1.7883,1.8067,7275219.92
2021-05-20 21:00:00,1.8064,1.8539,1.7855,1.8491,7718407.71
2021-05-20 22:00:00,1.8501,1.8539,1.767,1.8412,12403172.12
2021-05-20 23:00:00,1.8409,1.848,1.7821,1.806,6985458.04
2021-05-21 00:00:00,1.806,1.874,1.7972,1.8654,9020530.84
2021-05-21 01:00:00,1.8655,1.87,1.8123,1.8174,5635979.18
2021-05-21 02:00:00,1.8187,1.8232,1.7674,1.7843,7439677.97
2021-05-21 03:00:00,1.7835,1.7836,1.7374,1.7578,8872133.29
2021-05-21 04:00:00,1.7592,1.7599,1.7009,1.7272,7376802.94
2021-05-21 05:00:00,1.7266,1.75,1.7001,1.7186,6451185.55
2021-05-21 06:00:00,1.7196,1.7643,1.68,1.7554,7930551.25
2021-05-21 07:00:00,1.7554,1.7561,1.703,1.7126,3846003.7
2021-05-21 08:00:00,1.7119,1.7232,1.6693,1.7145,5570848.08
2021-05-21 09:00:00,1.7144,1.7605,1.7132,1.7334,3758349.92
2021-05-21 10:00:00,1.7333,1.7489,1.7168,1.7235,3539178.55
2021-05-21 11:00:00,1.7235,1.7355,1.6883,1.7195,3815748.06
2021-05-21 12:00:00,1.7192,1.7394,1.6546,1.6598,7597091.79
2021-05-21 13:00:00,1.6602,1.7122,1.65,1.7083,7153644.52
2021-05-21 14:00:00,1.7083,1.7196,1.5003,1.5937,36583545.97
2021-05-21 15:00:00,1.5946,1.6312,1.5115,1.5269,23179646.33
2021-05-21 16:00:00,1.5281,1.6199,1.488,1.5546,25452907.62
2021-05-21 17:00:00,1.5562,1.6,1.5404,1.5915,13132230.44
2021-05-21 18:00:00,1.5912,1.5915,1.52,1.5725,13280859.63
2021-05-21 19:00:00,1.5723,1.5744,1.4503,1.4796,21664397.12
2021-05-21 20:00:00,1.4801,1.5003,1.4,1.4184,26389247.97
2021-05-21 21:00:00,1.4175,1.528,1.3169,1.522,35190225.36
2021-05-21 22:00:00,1.5237,1.5524,1.4653,1.5174,13671807.68
2021-05-21 23:00:00,1.5176,1.567,1.4923,1.5525,10763163.14
2021-05-22 00:00:00,1.5524,1.5855,1.5184,1.5767,6463439.54
2021-05-22 01:00:00,1.5767,1.5858,1.5378,1.5459,4895259.42
2021-05-22 02:00:00,1.5468,1.5851,1.5189,1.5232,6704130.43
2021-05-22 03:00:00,1.5232,1.5514,1.48,1.5097,6568266.79
2021-05-22 04:00:00,1.5099,1.526,1.4219,1.4461,10186440.98
2021-05-22 05:00:00,1.4461,1.4655,1.3674,1.4374,12376193.3
2021-05-22 06:00:00,1.4384,1.445,1.3763,1.4351,9454312.25
2021-05-22 07:00:00,1.4358,1.448,1.395,1.4401,5525741.19
2021-05-22 08:00:00,1.4406,1.4965,1.4291,1.4798,5685224.41
2021-05-22 09:00:00,1.4798,1.516,1.4528,1.4943,3237733.53
2021-05-22 10:00:00,1.4934,1.55,1.466,1.5384,3941820.57
2021-05-22 11:00:00,1.5379,1.549,1.5019,1.5352,4844690.9
2021-05-22 12:00:00,1.5349,1.552,1.5052,1.5226,6578264.6
2021-05-22 13:00:00,1.5225,1.601,1.5194,1.5734,9107154.99
2021-05-22 14:00:00,1.5742,1.5945,1.51,1.5418,8228815.21
2021-05-22 15:00:00,1.5409,1.5626,1.4888,1.5377,7045313.56
2021-05-22 16:00:00,1.5384,1.5578,1.51,1.5248,5586346.71
2021-05-22 17:00:00,1.5248,1.5488,1.4766,1.4817,7318709.42
2021-05-22 18:00:00,1.4821,1.4893,1.4315,1.466,7806261.96
2021-05-22 19:00:00,1.4664,1.4822,1.4318,1.4424,5425848.8
2021-05-22 20:00:00,1.4435,1.5,1.4419,1.4862,6009021.03
2021-05-22 21:00:00,1.4866,1.505,1.4765,1.4995,3785410.27
2021-05-22 22:00:00,1.5,1.5061,1.4666,1.4833,4284353.63
2021-05-22 23:00:00,1.4828,1.5142,1.46,1.4652,4680177.48
2021-05-23 00:00:00,1.4653,1.54,1.44,1.5397,7008351.18
2021-05-23 01:00:00,1.5386,1.54,1.512,1.5123,3435451.01
2021-05-23 02:00:00,1.5124,1.5198,1.471,1.4837,4828587.19
2021-05-23 03:00:00,1.4826,1.4977,1.4729,1.4853,4290530.1
2021-05-23 04:00:00,1.4844,1.4898,1.4652,1.4774,3934099.29
2021-05-23 05:00:00,1.4756,1.4756,1.4351,1.4555,7076304.66
2021-05-23 06:00:00,1.4555,1.4696,1.4099,1.4258,5883653.08
2021-05-23 07:00:00,1.4262,1.4381,1.3602,1.3945,8787097.16
2021-05-23 08:00:00,1.3946,1.3947,1.2505,1.2869,20514025.17
2021-05-23 09:00:00,1.2855,1.3211,1.2444,1.254,17833491.92
2021-05-23 10:00:00,1.2549,1.3297,1.2489,1.2826,12491424.12
2021-05-23 11:00:00,1.2835,1.315,1.2669,1.2686,8623917.41
2021-05-23 12:00:00,1.268,1.2817,1.1311,1.1671,30637089.3
2021-05-23 13:00:00,1.1671,1.2178,1.11,1.2146,33165548.22
2021-05-23 14:00:00,1.2146,1.2755,1.1502,1.2611,22423768.75
2021-05-23 15:00:00,1.2657,1.2699,1.1584,1.1739,18376073.69
2021-05-23 16:00:00,1.1736,1.2,1.06,1.1196,40216739.23
2021-05-23 17:00:00,1.1235,1.2256,1.1151,1.1595,22944966.43
2021-05-23 18:00:00,1.158,1.1783,1.12,1.1316,13346725.46
2021-05-23 19:00:00,1.1316,1.1863,1.1201,1.1716,11731068.31
2021-05-23 20:00:00,1.1716,1.2875,1.1715,1.2756,19256299.32
2021-05-23 21:00:00,1.2753,1.4,1.27,1.3431,23242989.51
2021-05-23 22:00:00,1.3426,1.384,1.2825,1.3,12740916.73
2021-05-23 23:00:00,1.2999,1.3448,1.2995,1.3178,10122796.74
2021-05-24 00:00:00,1.3178,1.3701,1.3021,1.3183,12068013.18
2021-05-24 01:00:00,1.3182,1.3276,1.2586,1.307,11377192.77
2021-05-24 02:00:00,1.3065,1.3688,1.2987,1.365,7554276.22
2021-05-24 03:00:00,1.3663,1.399,1.3538,1.3715,10119279.34
2021-05-24 04:00:00,1.3715,1.39,1.3021,1.3475,8909552.56
2021-05-24 05:00:00,1.3472,1.3808,1.3472,1.374,5685517.35
2021-05-24 06:00:00,1.3739,1.3991,1.347,1.3966,4710666.14
2021-05-24 07:00:00,1.3979,1.494,1.3979,1.4855,14007942.4
2021-05-24 08:00:00,1.4847,1.4929,1.4327,1.4711,6777949.93
2021-05-24 09:00:00,1.4709,1.472,1.4258,1.4355,4266418.32
2021-05-24 10:00:00,1.4355,1.4714,1.41,1.4534,8576155.29
2021-05-24 11:00:00,1.4535,1.5068,1.4501,1.4866,10779823.44
2021-05-24 12:00:00,1.4877,1.55,1.47,1.5159,15197090.24
2021-05-24 13:00:00,1.516,1.527,1.4449,1.4679,14293405.55
2021-05-24 14:00:00,1.4683,1.51,1.4551,1.4914,9946017.31
2021-05-24 15:00:00,1.4914,1.5246,1.4734,1.5064,9699342.08
2021-05-24 16:00:00,1.5066,1.5213,1.44,1.4774,14502180.89
2021-05-24 17:00:00,1.4773,1.51,1.4578,1.508,9324210.5
2021-05-24 18:00:00,1.5092,1.5393,1.4877,1.5205,14063047.1
2021-05-24 19:00:00,1.5202,1.5849,1.4863,1.5771,18017565.26
2021-05-24 20:00:00,1.5792,1.5999,1.535,1.5517,19476123.17
2021-05-24 21:00:00,1.5516,1.5708,1.5147,1.5307,9970831.8
2021-05-24 22:00:00,1.5306,1.5571,1.5,1.529,8920886.24
2021-05-24 23:00:00,1.529,1.558,1.51,1.55,7717742.11
2021-05-25 00:00:00,1.5499,1.65,1.5317,1.6145,19982132.38
2021-05-25 01:00:00,1.6146,1.6358,1.558,1.5793,13191806.14
2021-05-25 02:00:00,1.5792,1.5893,1.523,1.5294,12247173.25
2021-05-25 03:00:00,1.5302,1.5487,1.5069,1.5442,10208340.4
2021-05-25 04:00:00,1.542,1.55,1.4754,1.523,10195642.93
2021-05-25 05:00:00,1.5246,1.5411,1.4983,1.5334,6432548.98
2021-05-25 06:00:00,1.5336,1.5883,1.5159,1.5823,6224038.99
2021-05-25 07:00:00,1.5826,1.6046,1.5648,1.6029,6002977.79
2021-05-25 08:00:00,1.6045,1.6217,1.555,1.5657,5324593.3
2021-05-25 09:00:00,1.5651,1.577,1.5358,1.5477,3005766.63
2021-05-25 10:00:00,1.5475,1.5475,1.4409,1.4792,7907022.24
2021-05-25 11:00:00,1.4802,1.5074,1.4373,1.4481,8424063.1
