datetime,open,high,low,close,volume
2021-06-03,0.4875,0.4875,0.3779,0.4015,190111721.7
2021-06-04,0.4015,0.4039,0.35,0.3769,570165109.2
2021-06-05,0.3769,0.3948,0.3598,0.3718,221827648.1
2021-06-06,0.3718,0.3774,0.3669,0.3717,125063397.2
2021-06-07,0.3719,0.38,0.3274,0.3315,205450202.3
2021-06-08,0.3317,0.3422,0.2959,0.3264,287575509.5
2021-06-09,0.3264,0.3548,0.3125,0.3436,197780888.9
2021-06-10,0.3437,0.3455,0.3228,0.3261,144170835.3
2021-06-11,0.3262,0.3343,0.311,0.3189,132298372.1
2021-06-12,0.3189,0.3192,0.3011,0.3121,94733927.0
2021-06-13,0.3123,0.3306,0.3077,0.3243,73923729.4
2021-06-14,0.3243,0.3377,0.3196,0.3276,93716865.3
2021-06-15,0.3277,0.3307,0.3165,0.3204,83817626.3
2021-06-16,0.3204,0.3213,0.3051,0.3077,82167983.9
2021-06-17,0.3078,0.3141,0.3028,0.3064,56543539.4
2021-06-18,0.3062,0.3078,0.2799,0.2934,176036609.4
2021-06-19,0.2935,0.298,0.2856,0.2856,57112283.0
2021-06-20,0.2858,0.2896,0.255,0.2803,158647350.2
2021-06-21,0.2803,0.2811,0.1643,0.1788,791737076.0
2021-06-22,0.1787,0.2175,0.1633,0.1909,794429143.4
2021-06-23,0.1909,0.2495,0.1805,0.2349,564383669.4
2021-06-24,0.2349,0.27,0.2218,0.264,351286805.7
2021-06-25,0.264,0.29,0.2285,0.2375,645832694.1
2021-06-26,0.2374,0.2557,0.2306,0.2459,208364317.6
2021-06-27,0.2458,0.2677,0.2403,0.2647,180482566.4
2021-06-28,0.2646,0.2669,0.2506,0.2572,171045051.3
2021-06-29,0.2571,0.2758,0.2527,0.2636,195143202.1
2021-06-30,0.2635,0.2641,0.2378,0.2541,184596444.7
2021-07-01,0.2539,0.2619,0.2383,0.2441,164261335.3
2021-07-02,0.2438,0.2489,0.2385,0.2452,111923201.4
