datetime,open,high,low,close,volume
2019-03-01,134.48,137.53,133.52,134.72,90382.88879399
2019-03-02,134.71,135.39,128.85,132.32,73890.52108609
2019-03-03,132.31,134.41,127.49,129.78,56761.42680555
2019-03-04,129.79,130.22,122.75,125.24,145880.92698053
2019-03-05,125.24,137.49,124.78,136.3,126482.54436724
2019-03-06,136.3,140.0,129.4,137.0,132735.21160008
2019-03-07,137.0,139.68,134.84,136.29,78148.67498289
2019-03-08,136.25,138.6,130.13,132.75,109051.38383922
2019-03-09,132.75,138.01,132.09,136.41,72226.47787985
2019-03-10,136.41,136.73,133.42,134.66,39485.26535825
2019-03-11,134.67,135.37,130.57,132.05,60950.85678864
2019-03-12,132.05,134.3,127.19,132.8,109786.4621842
2019-03-13,132.81,132.94,130.2,131.16,46032.46797637
2019-03-14,131.14,135.09,128.9,131.4,50560.72963066
2019-03-15,131.4,136.91,131.4,135.99,91959.49521847
2019-03-16,135.99,147.23,135.98,140.48,146871.31910951
2019-03-17,140.49,140.56,136.3,138.07,50370.40578707
2019-03-18,138.08,141.3,135.67,137.01,78074.3144158
2019-03-19,137.01,138.65,136.32,138.15,51002.41575666
2019-03-20,138.15,139.33,135.4,138.73,54900.47763403
2019-03-21,138.72,139.14,132.21,134.41,87061.37800034
2019-03-22,134.47,136.93,134.1,135.63,43537.77573634
2019-03-23,135.67,137.5,135.18,136.52,31767.16377086
2019-03-24,136.52,136.52,133.22,135.37,47018.65729994
2019-03-25,135.36,136.12,130.64,133.01,54980.7929363
2019-03-26,133.01,133.8,131.38,133.28,35935.77654048
2019-03-27,133.26,139.71,133.01,139.08,95849.8485137
2019-03-28,139.08,139.08,136.7,137.46,42440.12631835
2019-03-29,137.43,143.09,136.88,142.83,69918.16695945
2019-03-30,142.83,145.48,140.12,142.12,70292.40607708
2019-03-31,142.12,142.27,140.21,141.2,34441.10928232
2019-04-01,141.23,143.0,138.81,141.0,60125.58056027
2019-04-02,140.91,167.5,140.71,164.69,377851.4887581
2019-04-03,164.55,180.1,150.52,161.33,508272.16678562
2019-04-04,161.05,164.84,153.5,157.65,167376.33672998
2019-04-05,157.69,169.2,155.5,166.08,138429.58476632
2019-04-06,166.07,173.19,160.48,165.79,121006.88089457
2019-04-07,165.7,177.17,164.27,174.84,133596.30513451
2019-04-08,174.91,187.62,173.95,180.74,262579.62465928
2019-04-09,180.74,180.83,174.34,175.83,110942.00252594
