datetime,open,high,low,close,volume
2024-01-17,69.4,69.95,68.28,69.39,98480.97340796
2024-01-18,69.4,70.25,66.15,68.04,175124.55354662
2024-01-19,68.06,71.5,66.88,71.26,202916.06839042
2024-01-20,71.23,72.73,70.42,71.31,167567.3021948
2024-01-21,71.31,72.28,70.45,71.67,94973.34533082
2024-01-22,71.67,72.67,66.57,67.31,261850.79257689
2024-01-23,67.29,68.37,63.13,65.46,194779.51697209
2024-01-24,65.47,66.34,64.83,66.12,125059.60969504
2024-01-25,66.11,66.14,64.54,65.48,105179.89108335
2024-01-26,65.44,67.53,65.17,67.02,108588.19448834
2024-01-27,67.03,68.34,66.33,68.07,78215.11571326
2024-01-28,68.07,68.49,67.31,68.36,78396.68145709
2024-01-29,68.36,68.79,66.8,68.42,115414.02646123
2024-01-30,68.44,68.75,67.16,67.5,97842.79313159
2024-01-31,67.48,69.99,66.1,66.73,125558.06659432
2024-02-01,66.72,68.11,65.66,67.52,91465.19641624
2024-02-02,67.53,68.38,67.29,68.02,73508.50511231
2024-02-03,68.02,69.17,67.87,68.8,74508.1524104
2024-02-04,68.81,68.88,66.46,66.92,97590.98095528
2024-02-05,66.91,68.18,66.55,67.63,75942.9294412
2024-02-06,67.63,68.8,67.48,68.26,104296.25870481
2024-02-07,68.27,68.79,67.68,68.62,245248.8327213
2024-02-08,68.61,70.67,68.37,70.55,133803.37292202
2024-02-09,70.54,71.95,70.1,70.69,205645.64693709
2024-02-10,70.67,71.23,69.97,70.82,84442.68504255
2024-02-12,71.59,73.45,70.3,72.85,123006.77578591
2024-02-13,72.84,73.19,68.12,69.0,214431.3630108
2024-02-14,69.0,70.79,68.47,69.9,192100.95131616
2024-02-15,69.89,70.97,69.07,69.84,181962.73654268
2024-02-16,69.84,71.0,68.78,70.64,150133.89239774
2024-02-17,70.66,70.75,68.09,70.0,109586.92259487
2024-02-18,70.0,71.35,69.85,70.82,84873.6496752
2024-02-19,70.82,71.75,70.44,71.33,117056.87353795
2024-02-20,71.32,71.5,67.38,69.66,192538.48338141
2024-02-21,69.67,69.72,67.32,68.92,116061.78477399
2024-02-22,68.92,69.81,67.91,68.76,164292.77021673
2024-02-23,68.76,69.1,67.48,68.77,98154.13269607
2024-02-24,68.78,70.69,68.62,70.41,100240.47605084
2024-02-25,70.4,70.59,69.74,70.16,80694.25596705
2024-02-26,70.17,73.13,69.11,71.97,228851.99376536
2024-02-27,71.98,76.44,71.98,74.01,366219.88874986
2024-02-28,74.04,78.0,70.34,74.58,489757.77116659
2024-02-29,74.58,84.99,73.95,79.97,639834.98356604
2024-03-01,79.99,86.22,79.99,84.94,354465.59582862
2024-03-02,84.99,94.7,84.5,94.67,575950.67405812
2024-03-03,94.63,94.88,84.9,90.76,362194.8850811
2024-03-04,90.75,92.69,87.54,89.07,591626.60150754
2024-03-05,89.06,92.0,72.06,82.04,818160.42337597
2024-03-06,82.04,87.42,79.86,85.95,327059.30046633
2024-03-07,85.94,89.73,83.44,88.15,294098.06784724
2024-03-08,88.16,89.67,84.12,88.54,413552.06299405
2024-03-09,88.54,91.14,87.02,90.86,220352.12020933
2024-03-10,90.84,91.0,85.5,87.52,192237.67389949
2024-03-11,87.51,105.71,83.29,103.82,823702.25529118
2024-03-12,103.87,104.27,91.69,97.57,444874.79489273
2024-03-13,97.57,98.99,94.12,97.28,287186.80255031
2024-03-14,97.26,98.27,89.5,94.07,434579.13208273
2024-03-15,94.07,95.4,83.31,89.8,448776.25551076
2024-03-16,89.78,90.71,82.21,84.04,305335.17989134
2024-03-17,84.05,86.76,80.64,85.86,214046.61741817
2024-03-18,85.87,88.08,80.75,86.76,290319.44341527
2024-03-19,86.73,87.87,77.08,78.43,694236.19958826
2024-03-20,78.41,85.37,76.96,84.67,460152.72425964
