datetime,open,high,low,close,volume
2019-07-23 00:00:00,95.12,95.12,93.38,93.5,14423.13044623
2019-07-23 02:00:00,93.48,94.87,93.48,94.15,9478.41459753
2019-07-23 04:00:00,94.15,94.16,91.78,92.48,19146.71403297
2019-07-23 06:00:00,92.48,93.06,90.23,91.29,30295.68392038
2019-07-23 08:00:00,91.26,91.82,90.12,90.7,11840.32856115
2019-07-23 10:00:00,90.77,92.03,90.0,91.58,16899.9580563
2019-07-23 12:00:00,91.56,91.8,88.23,89.86,39161.94439023
2019-07-23 14:00:00,89.8,90.42,88.8,89.85,24577.26160417
2019-07-23 16:00:00,89.75,90.74,89.5,90.54,19534.21803479
2019-07-23 18:00:00,90.62,93.29,90.54,93.09,29536.09638687
2019-07-23 20:00:00,93.2,94.43,92.26,92.99,26346.42424458
2019-07-23 22:00:00,92.99,93.24,89.2,90.02,41373.58710097
2019-07-25 00:00:00,94.4,96.85,93.53,95.42,38729.1667851
2019-07-25 02:00:00,95.43,96.14,94.98,95.45,9185.18903387
2019-07-25 04:00:00,95.43,95.57,92.71,94.18,20112.34355953
2019-07-25 06:00:00,94.21,94.7,93.82,94.26,6548.51887255
2019-07-25 08:00:00,94.17,95.12,94.01,94.27,4528.88062364
2019-07-25 10:00:00,94.23,95.75,94.12,95.63,6722.26726616
2019-07-25 12:00:00,95.64,96.35,93.11,93.96,27909.27410132
2019-07-25 14:00:00,93.88,94.55,93.22,94.32,11008.42021227
2019-07-25 16:00:00,94.31,95.87,93.7,94.09,16780.8912206
2019-07-25 18:00:00,94.09,94.61,92.13,92.74,20308.88600695
2019-07-25 20:00:00,92.76,93.48,91.12,93.18,20080.40115492
2019-07-25 22:00:00,93.26,93.78,92.41,93.29,7712.39182878
2019-09-17 00:00:00,72.74,73.08,72.32,72.52,7493.77775896
2019-09-17 02:00:00,72.52,72.75,72.36,72.46,5181.33094857
2019-09-17 04:00:00,72.46,72.95,72.36,72.8,9164.66410058
2019-09-17 06:00:00,72.79,73.11,72.79,72.97,4203.58106302
2019-09-17 08:00:00,73.02,73.02,72.35,72.5,2065.06518135
2019-09-17 10:00:00,72.49,72.98,72.18,72.64,4951.59940799
2019-09-17 12:00:00,72.6,74.41,72.56,73.46,25878.49920266
2019-09-17 14:00:00,73.49,73.77,73.36,73.48,9856.18991019
2019-09-17 16:00:00,73.45,75.85,73.42,75.32,40414.4131061
2019-09-17 18:00:00,75.32,75.44,74.67,75.29,23481.99887896
2019-09-17 20:00:00,75.28,77.66,75.06,75.61,32346.37879198
2019-09-17 22:00:00,75.62,75.62,73.61,74.13,21679.2938773
2019-09-18 00:00:00,74.16,75.31,74.09,74.94,9984.82422525
2019-09-18 02:00:00,74.99,76.08,74.75,75.23,15439.36763289
2019-09-18 04:00:00,75.22,76.23,75.15,76.16,7968.8440507
2019-09-18 06:00:00,76.16,76.78,75.66,76.46,5940.88307567
2019-09-18 08:00:00,76.37,76.49,75.27,75.56,3972.36125209
2019-09-18 10:00:00,75.59,76.28,75.3,75.43,5419.62977579
2019-09-18 12:00:00,75.37,76.79,74.61,76.24,18855.10307805
2019-09-18 14:00:00,76.25,78.16,76.24,77.49,40295.69049689
2019-09-18 16:00:00,77.44,80.26,76.5,79.5,70739.59227545
2019-09-18 18:00:00,79.49,80.0,77.8,78.66,34004.21039257
2019-09-18 20:00:00,78.67,79.1,78.11,78.44,13164.91180306
2019-09-18 22:00:00,78.41,79.23,77.49,77.75,24314.95549859
2019-09-19 00:00:00,77.78,77.78,75.46,75.53,35299.79374876
2019-09-19 02:00:00,75.59,76.65,72.67,73.37,47342.76972449
2019-09-19 04:00:00,73.32,74.0,72.58,73.81,16107.19599431
2019-09-19 06:00:00,73.87,74.22,73.61,73.87,4950.80572713
2019-09-19 08:00:00,73.86,74.94,73.56,74.48,5851.88645739
2019-09-19 10:00:00,74.47,74.69,73.63,73.92,5477.38826997
2019-09-19 12:00:00,73.9,74.79,73.87,74.54,6708.51654818
2019-09-19 14:00:00,74.51,74.78,73.74,74.53,8107.28742643
2019-09-19 16:00:00,74.53,77.46,74.24,76.54,43169.03801221
2019-09-19 18:00:00,76.55,77.43,76.35,77.1,18099.45722051
2019-09-19 20:00:00,77.21,77.67,74.82,76.03,28370.97670386
2019-09-19 22:00:00,76.05,77.35,75.8,76.82,12328.47581276
2019-09-20 00:00:00,76.83,77.2,75.31,75.77,15021.95736568
2019-09-20 02:00:00,75.8,76.5,75.11,75.32,20672.1028759
2019-09-20 04:00:00,75.37,75.53,74.54,74.65,13663.93161523
2019-09-20 06:00:00,74.68,75.72,74.68,75.39,8801.93166843
2019-09-20 08:00:00,75.4,75.91,75.16,75.41,3083.78093097
2019-09-20 10:00:00,75.41,75.77,74.81,75.54,5332.61067571
2019-09-20 12:00:00,75.56,76.41,75.45,75.99,5604.61004623
2019-09-20 14:00:00,76.0,76.0,74.67,75.22,8797.43548677
2019-09-20 16:00:00,75.22,75.3,72.91,74.01,33156.41384115
2019-09-20 18:00:00,74.01,74.63,74.0,74.27,4202.72886692
2019-09-20 20:00:00,74.33,74.48,73.64,74.21,7944.34784075
2019-09-20 22:00:00,74.21,75.38,74.11,75.1,6422.88093023
2019-09-21 00:00:00,75.07,75.5,74.6,75.11,6411.85857971
2019-09-21 02:00:00,75.09,75.46,74.54,74.69,3361.69747545
2019-09-21 04:00:00,74.66,74.9,74.25,74.78,3426.02667204
2019-09-21 06:00:00,74.78,74.85,74.12,74.63,3646.48020448
2019-09-21 08:00:00,74.63,74.64,73.18,73.58,7194.66464002
2019-09-21 10:00:00,73.59,73.86,73.07,73.66,4042.76453609
2019-09-21 12:00:00,73.54,73.59,72.88,73.54,6170.19729462
2019-09-21 14:00:00,73.52,74.27,73.25,73.88,5966.42520993
2019-09-21 16:00:00,73.88,74.13,72.04,72.76,18367.26443524
2019-09-21 18:00:00,72.71,73.1,72.7,73.06,5313.83063463
2019-09-21 20:00:00,73.08,73.23,72.73,72.98,3082.54199614
