datetime,open,high,low,close,volume
2024-07-12,135.7,140.63,133.91,139.55,732342.16368954
2024-07-13,139.55,143.64,137.99,141.93,392576.20808125
2024-07-14,141.92,148.6,141.92,147.69,683228.5697022
2024-07-15,147.7,160.13,147.07,159.55,1003776.19544639
2024-07-16,159.5,162.62,152.61,160.69,1049712.20926574
2024-07-17,160.69,163.84,154.5,155.51,828073.52716048
2024-07-18,155.51,161.63,155.18,159.21,583461.31153311
2024-07-19,159.19,172.57,156.16,169.21,1367806.12189851
2024-07-20,169.21,175.0,167.27,173.68,574365.13980998
2024-07-21,173.68,185.0,170.38,184.51,870596.64431196
2024-07-22,184.52,184.99,176.75,178.98,693819.15970186
2024-07-23,178.95,180.67,170.2,173.03,774289.44240746
2024-07-24,173.05,182.5,170.94,178.0,776752.33415245
2024-07-25,178.03,179.81,165.36,171.82,1295552.43400642
2024-07-26,171.81,183.68,171.67,183.06,954194.07033685
2024-07-27,183.08,188.31,178.06,183.56,1037089.56328282
2024-07-28,183.56,186.67,180.99,184.9,520879.17672757
2024-07-29,184.91,193.89,181.57,182.52,1233136.27729287
2024-07-30,182.52,184.72,175.35,179.11,1068417.23222558
2024-07-31,179.11,184.43,171.53,171.62,1155415.59061793
2024-08-01,171.61,172.93,157.67,167.22,1954392.4497109
2024-08-02,167.23,169.34,149.78,152.57,1848547.66021147
2024-08-03,152.57,153.82,139.73,142.45,1324991.40139784
2024-08-04,142.44,145.99,131.11,138.25,1803319.51615065
2024-08-05,138.26,139.27,110.0,129.81,6250882.90417749
2024-08-06,129.84,149.61,129.37,144.46,2167568.74424249
2024-08-07,144.46,155.06,142.32,144.77,2301753.74673278
2024-08-08,144.78,163.7,141.43,163.18,2439675.60795652
2024-08-09,163.16,163.58,150.79,156.32,1610185.64781277
2024-08-10,156.35,158.83,152.54,154.05,539036.61658277
2024-08-11,154.06,158.0,141.2,141.57,884922.06462752
2024-08-12,141.56,151.19,141.21,146.31,1116100.66550871
2024-08-13,146.31,149.98,142.89,146.7,631243.28252229
2024-08-14,146.71,152.21,142.34,143.73,1003917.85994446
2024-08-15,143.74,147.61,137.8,142.57,1234922.20942239
2024-08-16,142.57,144.9,136.02,139.08,923991.7751813
2024-08-17,139.07,142.0,137.66,141.96,308877.59884979
2024-08-18,141.96,147.15,140.55,142.45,1005877.45778013
2024-08-19,142.41,146.25,140.38,144.31,572488.18229455
