datetime,open,high,low,close,volume
2023-11-07 00:00:00,42.17,42.25,41.22,41.44,318132.018
2023-11-07 02:00:00,41.45,41.65,40.11,40.84,147967.0
2023-11-07 04:00:00,40.83,41.46,40.68,41.45,62684.947
2023-11-07 06:00:00,41.41,41.68,41.07,41.55,60485.746
2023-11-07 08:00:00,41.59,41.75,40.59,40.74,46128.572
2023-11-07 10:00:00,40.74,41.55,40.51,41.11,79875.649
2023-11-07 12:00:00,41.1,42.16,40.74,41.99,409637.236
2023-11-07 14:00:00,41.99,42.0,40.82,41.2,291206.204
2023-11-07 16:00:00,41.23,43.15,41.04,43.07,664899.162
2023-11-07 18:00:00,43.06,44.42,42.79,43.89,623692.664
2023-11-07 20:00:00,43.89,44.75,43.76,43.83,430571.502
2023-11-07 22:00:00,43.83,43.84,42.78,42.95,312563.001
2023-11-08 00:00:00,42.94,43.15,42.27,43.1,164599.581
2023-11-08 02:00:00,43.11,43.52,42.86,43.38,82758.59
2023-11-08 04:00:00,43.39,43.69,43.0,43.19,90140.549
2023-11-08 06:00:00,43.19,43.78,43.04,43.49,55966.41
2023-11-08 08:00:00,43.49,43.89,43.22,43.28,35369.93
2023-11-08 10:00:00,43.28,43.6,43.1,43.33,36233.57
2023-11-08 12:00:00,43.36,43.61,43.02,43.33,79002.846
2023-11-08 14:00:00,43.33,43.37,42.32,42.75,138602.202
2023-11-08 16:00:00,42.77,43.23,42.55,42.72,127874.298
2023-11-08 18:00:00,42.72,43.62,42.65,43.11,139987.946
2023-11-08 20:00:00,43.11,43.37,42.3,43.07,166672.608
2023-11-08 22:00:00,43.06,43.51,42.8,43.13,301622.521
2023-11-09 00:00:00,43.16,43.4,42.52,43.12,233022.674
2023-11-09 02:00:00,43.12,44.14,43.02,44.1,353717.045
2023-11-09 04:00:00,44.11,44.63,43.92,44.5,162627.113
2023-11-09 06:00:00,44.49,44.63,43.84,43.92,59864.947
2023-11-09 08:00:00,43.91,46.79,43.91,46.53,318845.714
2023-11-09 10:00:00,46.51,47.45,46.22,47.13,234087.115
2023-11-09 12:00:00,47.14,48.16,47.11,47.54,571534.137
2023-11-09 14:00:00,47.53,48.93,45.6,46.56,811603.363
2023-11-09 16:00:00,46.55,46.82,43.45,45.5,749723.383
2023-11-09 18:00:00,45.5,45.57,43.45,44.44,259809.815
2023-11-09 20:00:00,44.42,45.16,43.09,45.04,328872.719
2023-11-09 22:00:00,45.06,45.76,44.74,45.3,173909.09
2023-11-10 00:00:00,45.31,46.3,45.08,46.2,173566.345
2023-11-10 02:00:00,46.18,48.0,45.87,47.42,307267.059
2023-11-10 04:00:00,47.42,47.65,46.76,47.38,283414.675
2023-11-10 06:00:00,47.36,48.87,46.83,47.53,213869.981
2023-11-10 08:00:00,47.55,49.22,46.58,49.08,144721.417
2023-11-10 10:00:00,49.09,51.14,48.54,50.71,494746.069
2023-11-10 12:00:00,50.72,51.94,49.43,49.74,447646.049
2023-11-10 14:00:00,49.75,51.36,48.64,50.91,437476.535
2023-11-10 16:00:00,50.92,52.97,50.66,52.63,411160.417
2023-11-10 18:00:00,52.6,55.0,52.47,54.14,671004.756
2023-11-10 20:00:00,54.13,55.07,53.08,53.92,360549.858
2023-11-10 22:00:00,53.93,57.74,53.64,56.72,619939.459
2023-11-11 00:00:00,56.7,57.73,54.33,55.07,437936.351
2023-11-11 02:00:00,55.08,56.4,54.57,55.87,251599.231
2023-11-11 04:00:00,55.84,55.85,53.75,54.63,213544.965
2023-11-11 06:00:00,54.63,56.0,53.6,54.24,141885.73
2023-11-11 08:00:00,54.32,55.88,53.82,54.54,227208.22
2023-11-11 10:00:00,54.55,55.73,54.3,55.27,90265.856
2023-11-11 12:00:00,55.29,59.88,55.06,59.75,457563.111
2023-11-11 14:00:00,59.77,63.98,59.36,60.93,903287.198
2023-11-11 16:00:00,60.93,62.6,58.02,58.99,747416.164
2023-11-11 18:00:00,58.98,60.6,58.45,60.42,466837.142
2023-11-11 20:00:00,60.42,60.42,57.04,58.08,583676.2
