datetime,open,high,low,close,volume
2024-11-16 12:00:00,218.96,221.78,213.4,215.61,242237.04830571
2024-11-16 18:00:00,215.65,217.47,214.13,215.81,178899.52579774
2024-11-17 00:00:00,215.81,239.54,212.21,236.56,594196.05433901
2024-11-17 06:00:00,236.57,241.99,234.12,234.81,322832.79025508
2024-11-17 12:00:00,234.76,236.0,229.7,233.88,223936.68330306
2024-11-17 18:00:00,233.87,238.41,231.25,237.53,286611.19807289
2024-11-18 00:00:00,237.5,245.0,234.03,243.05,351880.44813063
2024-11-18 06:00:00,243.1,248.52,239.46,242.45,232795.85864104
2024-11-18 12:00:00,242.55,245.15,237.5,239.97,372476.81120019
2024-11-18 18:00:00,239.98,241.88,234.39,239.94,301463.94897221
2024-11-19 00:00:00,239.95,243.48,237.67,241.12,178106.02500263
2024-11-19 06:00:00,241.09,247.1,240.74,246.23,132944.32858566
2024-11-19 12:00:00,246.22,247.75,238.51,243.25,281021.14735228
2024-11-19 18:00:00,243.25,244.84,233.74,237.99,332283.90310888
2024-11-20 00:00:00,237.99,238.2,230.66,235.19,220862.98908474
2024-11-20 06:00:00,235.15,239.05,234.35,237.82,168759.29901134
2024-11-20 12:00:00,237.81,242.72,232.0,232.12,341157.78815901
2024-11-20 18:00:00,232.12,238.3,231.17,235.68,277688.51428184
2024-11-21 00:00:00,235.68,242.12,230.02,239.24,356429.0478025
2024-11-21 06:00:00,239.24,243.55,236.97,240.02,200922.40533598
2024-11-21 12:00:00,240.0,259.0,239.98,257.49,891465.51380517
2024-11-21 18:00:00,257.45,259.89,253.1,256.65,473077.27424074
2024-11-22 00:00:00,256.65,264.63,252.69,260.84,379473.20762245
2024-11-22 06:00:00,260.81,261.4,256.38,259.49,158545.06857995
2024-11-22 12:00:00,259.49,260.64,252.59,254.7,297637.74958876
2024-11-22 18:00:00,254.7,258.3,251.75,257.23,266447.56638505
2024-11-23 00:00:00,257.23,264.32,253.65,260.23,282479.32646405
2024-11-23 06:00:00,260.22,260.83,256.12,256.4,97885.27982265
2024-11-23 12:00:00,256.42,263.98,255.2,257.71,267429.43236035
2024-11-23 18:00:00,257.69,257.7,253.01,255.12,187102.3491204
2024-11-24 00:00:00,255.11,260.0,254.5,255.46,140361.9485049
2024-11-24 06:00:00,255.46,257.02,248.32,248.79,115032.82853355
2024-11-24 12:00:00,248.74,250.48,241.2,247.7,277731.52017358
2024-11-24 18:00:00,247.64,254.99,247.22,253.03,174653.6192788
2024-11-25 00:00:00,253.03,254.33,246.0,253.49,138785.77158664
2024-11-25 06:00:00,253.5,256.82,251.44,252.36,107217.51427302
2024-11-25 12:00:00,252.36,252.73,233.65,239.8,721806.34606718
2024-11-25 18:00:00,239.87,242.07,231.16,234.18,407510.70457018
2024-11-26 00:00:00,234.14,239.56,233.53,238.8,180822.40445922
2024-11-26 06:00:00,238.8,239.91,221.57,227.75,280968.00210786
2024-11-26 12:00:00,227.75,232.81,225.72,230.27,387897.63611482
2024-11-26 18:00:00,230.27,232.09,223.5,230.6,229431.70146554
2024-11-27 00:00:00,230.6,233.83,227.5,228.73,164397.94913783
2024-11-27 06:00:00,228.73,237.12,228.72,235.06,126442.32665015
2024-11-27 12:00:00,235.04,241.3,232.65,240.08,283238.37877366
2024-11-27 18:00:00,240.08,243.56,238.91,242.24,316219.77400443
2024-11-28 00:00:00,242.24,245.49,237.95,238.54,173980.25048168
2024-11-28 06:00:00,238.54,239.72,234.48,236.98,82485.25925961
2024-11-28 12:00:00,236.98,237.84,232.89,235.25,122575.62033457
2024-11-28 18:00:00,235.26,238.51,234.65,237.65,89045.82590351
2024-11-29 00:00:00,237.64,243.12,236.6,240.65,131865.3589868
2024-11-29 06:00:00,240.65,245.52,237.56,245.29,102145.51443572
2024-11-29 12:00:00,245.34,246.87,240.4,240.42,253973.6068313
2024-11-29 18:00:00,240.41,245.5,240.13,243.43,227949.55344303
2024-11-30 00:00:00,243.43,243.98,239.06,243.79,127762.49566095
2024-11-30 06:00:00,243.79,245.43,240.16,241.58,107178.83143941
2024-11-30 12:00:00,241.58,243.15,238.64,239.93,127571.44441475
2024-11-30 18:00:00,239.94,241.27,237.61,237.74,150195.21697691
2024-12-01 00:00:00,237.74,240.0,234.24,235.44,153527.0971745
2024-12-01 06:00:00,235.44,238.81,235.19,237.23,77283.39391038
2024-12-01 12:00:00,237.24,239.59,236.29,237.16,138986.51958129
2024-12-01 18:00:00,237.15,239.29,234.46,236.95,240983.85209958
2024-12-02 00:00:00,236.92,238.5,226.37,228.62,521245.87083671
2024-12-02 06:00:00,228.6,229.28,222.9,224.79,257897.53302066
2024-12-02 12:00:00,224.79,230.08,220.03,220.49,581811.13982458
2024-12-02 18:00:00,220.49,225.93,220.37,225.79,480787.76755129
2024-12-03 00:00:00,225.8,229.33,223.19,228.17,270508.41731365
2024-12-03 06:00:00,228.17,231.01,222.95,225.53,165262.00507989
2024-12-03 12:00:00,225.59,226.46,215.0,224.67,456850.67696762
2024-12-03 18:00:00,224.66,240.09,223.81,234.1,699787.37298556
2024-12-04 00:00:00,234.13,240.99,234.13,238.09,343892.52261228
2024-12-04 06:00:00,238.08,238.52,235.2,236.12,146275.83555663
2024-12-04 12:00:00,236.09,236.26,224.69,229.22,445457.48562229
2024-12-04 18:00:00,229.23,236.79,226.1,229.49,651005.78024564
2024-12-05 00:00:00,229.47,238.8,223.19,235.1,627138.52042892
2024-12-05 06:00:00,235.1,242.53,231.5,241.96,264004.27210284
2024-12-05 12:00:00,241.98,244.99,236.47,240.13,522660.61472581
2024-12-05 18:00:00,240.13,241.0,226.0,236.13,551350.38446225
2024-12-06 00:00:00,236.13,247.1,234.69,238.79,372792.98343722
2024-12-06 06:00:00,238.77,240.72,233.82,234.34,148366.77364607
2024-12-06 12:00:00,234.26,240.74,231.11,239.29,324951.82385913
2024-12-06 18:00:00,239.33,241.2,235.72,237.21,263107.04457078
2024-12-07 00:00:00,237.21,237.72,234.32,235.7,192025.94193101
2024-12-07 06:00:00,235.72,239.55,234.98,238.39,98168.26026861
2024-12-07 12:00:00,238.39,243.4,237.53,241.22,199331.04015582
2024-12-07 18:00:00,241.22,243.8,238.08,238.35,239311.9939233
2024-12-08 00:00:00,238.35,241.72,236.76,237.39,144346.99274355
2024-12-08 06:00:00,237.42,239.01,233.32,236.13,97183.13931411
2024-12-08 12:00:00,236.12,237.82,234.65,236.77,120641.26518954
2024-12-08 18:00:00,236.77,237.99,234.19,237.19,121113.59703974
2024-12-09 00:00:00,237.19,237.45,230.3,232.69,177591.76411592
2024-12-09 06:00:00,232.68,232.75,225.32,225.99,133268.24946745
2024-12-09 12:00:00,225.98,231.81,222.98,222.99,324865.72689313
2024-12-09 18:00:00,222.99,225.47,205.0,216.72,644763.15569195
2024-12-10 00:00:00,216.71,221.09,207.1,216.42,499820.83582681
2024-12-10 06:00:00,216.42,218.79,215.21,216.29,143983.33055303
2024-12-10 12:00:00,216.3,218.7,203.77,203.81,840556.97594417
2024-12-10 18:00:00,203.81,216.47,203.27,213.75,468828.21584969
2024-12-11 00:00:00,213.75,220.0,211.62,218.46,281150.53789212
2024-12-11 06:00:00,218.47,225.58,218.0,224.94,177769.05248406
2024-12-11 12:00:00,224.94,230.76,224.17,228.21,469678.3296578
2024-12-11 18:00:00,228.2,230.84,226.83,227.42,279005.45727752
2024-12-12 00:00:00,227.42,233.0,225.78,231.36,208372.91169286
2024-12-12 06:00:00,231.37,233.57,228.39,229.62,111231.8649056
2024-12-12 12:00:00,229.63,234.42,228.78,234.17,360233.31638492
