datetime,open,high,low,close,volume
2024-11-13,4.299,4.4,3.873,4.18,1599788.61
2024-11-14,4.176,4.364,3.526,3.592,6839344.56
2024-11-15,3.591,4.034,3.37,3.9,7035911.78
2024-11-16,3.898,3.976,3.555,3.605,4278834.54
2024-11-17,3.603,3.95,3.379,3.614,4714332.14
2024-11-18,3.618,3.722,3.366,3.455,3744515.11
2024-11-19,3.455,3.568,3.19,3.291,4827729.58
2024-11-20,3.292,3.371,3.034,3.05,3187044.48
2024-11-21,3.052,3.39,2.976,3.264,4222598.0
2024-11-22,3.27,3.441,3.047,3.211,4794278.31
2024-11-23,3.211,3.581,3.135,3.275,5049690.2
2024-11-24,3.276,3.476,3.012,3.171,4267751.59
2024-11-25,3.174,3.666,3.065,3.182,8975684.54
2024-11-26,3.182,3.381,2.902,3.012,5727232.59
2024-11-27,3.011,3.183,2.957,3.117,3411482.98
2024-11-28,3.119,3.219,2.97,3.078,1887558.49
2024-11-29,3.079,3.333,3.056,3.289,3254419.54
2024-11-30,3.29,3.311,3.159,3.181,1973557.02
2024-12-01,3.181,3.453,3.052,3.446,4098631.97
2024-12-02,3.44,3.481,2.996,3.12,6023248.8
2024-12-03,3.12,3.374,2.922,3.279,5232921.49
2024-12-04,3.281,3.435,3.113,3.198,5747570.01
2024-12-05,3.2,3.449,3.04,3.351,6030530.76
2024-12-06,3.351,3.605,3.273,3.487,8385882.84
2024-12-07,3.489,4.021,3.405,3.883,15771107.71
2024-12-08,3.883,3.934,3.636,3.719,10045242.78
2024-12-09,3.72,3.72,2.576,3.05,10318011.41
2024-12-10,3.051,3.141,2.644,2.847,9706915.65
2024-12-11,2.847,3.143,2.756,3.05,4497273.31
2024-12-12,3.057,3.198,2.931,2.949,5799532.96
2024-12-13,2.949,3.003,2.846,2.954,4177518.82
2024-12-14,2.954,2.976,2.757,2.843,3238382.92
2024-12-15,2.842,2.889,2.701,2.853,2941057.22
2024-12-16,2.856,2.929,2.631,2.746,4517688.29
2024-12-17,2.746,2.872,2.671,2.708,3600074.56
2024-12-18,2.719,2.784,2.229,2.305,6095998.34
2024-12-19,2.304,2.327,2.023,2.065,9392946.2
2024-12-20,2.064,2.159,1.722,2.104,10850059.67
2024-12-21,2.102,2.253,1.857,1.887,4526251.92
2024-12-22,1.889,2.04,1.814,1.919,3792715.82
2024-12-23,1.916,2.049,1.846,2.026,3632096.3
2024-12-24,2.023,2.097,1.947,2.05,3565609.85
2024-12-25,2.049,2.084,1.942,1.977,2814027.73
2024-12-26,1.978,2.006,1.814,1.838,2893287.39
2024-12-27,1.838,1.932,1.796,1.825,2080064.64
2024-12-28,1.827,1.97,1.798,1.923,2064047.64
2024-12-29,1.927,1.948,1.813,1.829,1263091.52
2024-12-30,1.827,1.933,1.778,1.821,3548361.95
2024-12-31,1.821,1.951,1.733,1.86,5620918.54
2025-01-01,1.855,1.916,1.759,1.853,4193987.79
2025-01-02,1.854,2.052,1.848,2.021,5857460.04
2025-01-03,2.024,2.209,1.946,2.165,8093434.95
2025-01-04,2.165,2.181,2.091,2.178,4229022.62
2025-01-05,2.177,2.197,2.072,2.106,5121885.22
2025-01-06,2.108,2.159,2.024,2.085,5456988.96
2025-01-07,2.086,2.101,1.841,1.852,7228594.82
2025-01-08,1.852,1.887,1.658,1.709,7763216.86
2025-01-09,1.709,1.734,1.491,1.543,15508380.72
2025-01-10,1.544,1.632,1.516,1.558,7867018.52
2025-01-11,1.557,1.641,1.526,1.577,5133257.08
2025-01-12,1.578,1.59,1.524,1.543,2553176.8
2025-01-13,1.543,1.594,1.355,1.49,9836316.19
2025-01-14,1.491,1.575,1.473,1.551,4218957.27
2025-01-15,1.552,1.782,1.502,1.773,8380440.16
2025-01-16,1.775,1.855,1.706,1.763,8067836.79
2025-01-17,1.764,1.919,1.75,1.873,8819810.98
2025-01-18,1.873,1.992,1.738,1.769,13929317.19
2025-01-19,1.769,1.82,1.498,1.534,16981535.26
2025-01-20,1.534,1.604,1.36,1.39,16370585.28
